Id,eng_name,ar_name
1,Medical Insurance,تأمين صحي
2,Company Car,سيارة من الشركة
3,Flight Tickets,تذاكر طيران
4,Family Benefits,مزايا عائلية
5,Graduates Program,برنامج للخريجين
6,Recreational Facilities,مرافق ترفيهية
7,Pet Friendly Office,مكتب صديق للحيوانات الأليفة
8,Flexi Hours,ساعات مرنة
9,Free Food,طعام مجاني
10,Company Activities,نشاطات متنوعة
11,Work From Home,عمل من المنزل
12,Travel Opportunities,فرص للسفر
13,Retirement Benefits,استحقاقات تقاعدية
14,Stock Options & Equity,برنامج خيارات الأسهم
