Id,eng_name,ar_name
,East Timor,تيمور الشرقية
,Ivory Coast,ساحل العاج
,Kosovo,كوسوفو
,North Korea,كوريا الشمالية
,Andorra,أندورا
,Australia,استراليا
,Angola,أنجولا
,Austria,النمسا
,Bahamas,جزر البهاما
,Bahrain,البحرين
,Bangladesh,بنغلاديش
,Belgium,بلجيكا
,Benin,بنين
,Bhutan,بوتان
,Bolivia,بوليفيا
,Botswana,بوتسوانا
,Brazil,البرازيل
,Burkina Faso,بوركينا فاسو
,Cape Verde,الرأس الأخضر
,Cambodia,كمبوديا
,Cameroon,الكاميرون
,Namibia,ناميبيا
,Chad,تشاد
,Chile,تشيلي
,China,الصين
,Colombia,كولومبيا
,Democratic Republic of the Congo,جمهورية الكونغو الديمقراطية
,Costa Rica,كوستاريكا
,Croatia,كرواتيا
,Cuba,كوبا
,Denmark,الدنمارك
,Djibouti,جيبوتي
,Dominican Republic,الجمهورية الدومينيكية
,Ecuador,الإكوادور
,Egypt,مصر
,Eritrea,إريتريا
,Ethiopia,إثيوبيا
,Fiji,فيجي
,Finland,فنلندا
,France,فرنسا
,Georgia,جورجيا
,Germany,المانيا
,Greece,اليونان
,Guinea,غينيا
,Guyana,غيانا
,Haiti,هايتي
,Honduras,هندوراس
,Hong Kong,هونغ كونغ
,India,الهند
,Iran,إيران
,Iraq,العراق
,Ireland,آيرلندا
,Jamaica,جامايكا
,Japan,اليابان
,Kazakhstan,كازاخستان
,Kenya,كينيا
,Kuwait,الكويت
,Latvia,لاتفيا
,Lebanon,لبنان
,Libya,ليبيا
,Lithuania,ليتوانيا
,Macao,ماكاو
,Madagascar,مدغشقر
,Malawi,ملاوي
,Malaysia,ماليزيا
,Mali,مالي
,Malta,مالطا
,Mauritania,موريتانيا
,Mexico,المكسيك
,Monaco,موناكو
,Mongolia,منغوليا
,Morocco,المغرب
,Myanmar,ميانمار
,Nepal,نيبال
,Netherlands,هولندا
,Niger,النيجر
,Nigeria,نيجيريا
,Oman,سلطنة عمان
,Pakistan,باكستان
,Palestine,فلسطين
,Paraguay,باراغواي
,Peru,بيرو
,Albania,ألبانيا
,South Korea,كوريا الجنوبية
,Poland,بولندا
,Portugal,البرتغال
,Puerto Rico,بورتوريكو
,Qatar,قطر
,Romania,رومانيا
,Russia,روسيا
,Rwanda,رواندا
,Saint Lucia,سانت لوسيا
,Saint Vincent and the Grenadines,سانت فنسنت وجزر غرينادين
,Saudi Arabia,السعودية
,Senegal,السنغال
,Serbia,صربيا
,Seychelles,سيشيل
,Sierra Leone,سيراليون
,Singapore,سنغافورة
,Slovakia,سلوفاكيا
,Somalia,الصومال
,South Africa,جنوب أفريقيا
,South Sudan,جنوب السودان
,Spain,أسبانيا
,Sri Lanka,سريلانكا
,Sudan,السودان
,Swaziland,سوازيلند
,Sweden,السويد
,Switzerland,سويسرا
,Syria,سوريا
,Taiwan,تايوان
,Tajikistan,طاجيكستان
,Tanzania,تنزانيا
,Thailand,تايلاند
,Tonga,تونغا
,Trinidad and Tobago,ترينيداد وتوباغو
,Tunisia,تونس
,Turkey,تركيا
,Turkmenistan,تركمانستان
,Uganda,أوغندا
,Ukraine,أوكرانيا
,United Arab Emirates,الإمارات العربية المتحدة
,United Kingdom,المملكة المتحدة
,United States,الولايات المتحدة
,Uruguay,أوروغواي
,Venezuela,فنزويلا
,Vietnam,فيتنام
,Western Sahara,الصحراء الغربية
,Yemen,اليمن
,Zambia,زامبيا
,Zimbabwe,زيمبابوي
,Afghanistan,أفغانستان
,Algeria,الجزائر
,Argentina,الأرجنتين
,Armenia,أرمينيا
,Azerbaijan,أذربيجان
,Barbados,بربادوس
,Belarus,بيلاروسيا
,Belize,بليز
,Bulgaria,بلغاريا
,Burundi,بوروندي
,Canada,كندا
,Central African Republic,جمهورية أفريقيا الوسطى
,Comoros,جزر القمر
,Republic of the Congo,جمهورية الكونغو
,Czech Republic,الجمهورية التشيكية
,El Salvador,السلفادور
,Estonia,أستونيا
,Gabon,غابون
,Ghana,غانا
,Hungary,المجر
,Indonesia,إندونيسيا
,Italy,إيطاليا
,Jordan,الأردن
,Liberia,ليبيريا
,Luxembourg,لوكسمبورج
,Maldives,جزر المالديف
,Marshall Islands,جزر مارشال
,Montenegro,الجبل الأسود
,Mozambique,موزامبيق
,New Zealand,نيوزيلندا
,Norway,النرويج
,Philippines,الفلبين
,Samoa,ساموا
,Bosnia and Herzegovina,البوسنة والهرسك
,Brunei,بروناي
,Cayman Islands,جزر كايمان
,Cyprus,قبرص
,Dominica,دومينيكا
,Equatorial Guinea,غينيا الاستوائية
,Guatemala,غواتيمالا
,Guinea-Bissau,غينيا - بيساو
,Iceland,أيسلندا
,Kyrgyzstan,قيرغيزستان
,Laos,لاوس
,Macedonia,مقدونيا
,Mauritius,موريشيوس
,Moldova,مولدافيا
,Nicaragua,نيكاراغوا
,Panama,بانما
,Papua New Guinea,بابوا غينيا الجديدة
,Saint Kitts and Nevis,سانت كيتس ونيفيس
,San Marino,سان مارينو
,Slovenia,سلوفينيا
,Suriname,سورينام
,Togo,توغو
,Tuvalu,توفالو
,Uzbekistan,أوزبكستان
